0, 49 
1, 54 
2, 59 
3, 56 
4, 54 
5, 43 
6, 54 
7, 38 
8, 41 
9, 43 
10, 52 
11, 37 
12, 34 
13, 33 
14, 52 
15, 52 
16, 48 
17, 35 
18, 45 
19, 62 
20, 63 
21, 55 
22, 52 
23, 63 
24, 50 
25, 58 
26, 65 
27, 54 
28, 48 
29, 41 
30, 49 
31, 43 
32, 47 
33, 41 
34, 40 
35, 52 
36, 53 
37, 52 
38, 53 
39, 54 
40, 43 
41, 56 
42, 43 
43, 40 
44, 36 
45, 48 
46, 41 
47, 45 
48, 41 
49, 28 
50, 35 
51, 32 
52, 35 
53, 54 
54, 48 
55, 41 
56, 52 
57, 46 
58, 39 
59, 41 
60, 50 
61, 55 
62, 39 
63, 53 
64, 54 
65, 38 
66, 49 
67, 50 
68, 44 
69, 44 
70, 49 
71, 41 
72, 43 
73, 52 
74, 43 
75, 53 
76, 46 
77, 44 
78, 58 
79, 47 
80, 59 
81, 60 
82, 63 
83, 53 
84, 55 
85, 49 
86, 58 
87, 57 
88, 50 
89, 51 
90, 47 
91, 55 
92, 57 
93, 64 
94, 45 
95, 59 
96, 46 
97, 35 
98, 40 
99, 39 
100, 50 
