0, 51 
1, 44 
2, 45 
3, 50 
4, 42 
5, 54 
6, 41 
7, 47 
8, 29 
9, 43 
10, 44 
11, 53 
12, 40 
13, 31 
14, 47 
15, 64 
16, 49 
17, 56 
18, 46 
19, 54 
20, 40 
21, 50 
22, 49 
23, 45 
24, 52 
25, 42 
26, 36 
27, 49 
28, 49 
29, 40 
30, 58 
31, 60 
32, 64 
33, 46 
34, 53 
35, 40 
36, 43 
37, 59 
38, 54 
39, 57 
40, 36 
41, 44 
42, 45 
43, 47 
44, 58 
45, 53 
46, 41 
47, 44 
48, 46 
49, 50 
50, 41 
51, 43 
52, 56 
53, 50 
54, 53 
55, 54 
56, 55 
57, 67 
58, 40 
59, 49 
60, 49 
61, 44 
62, 53 
63, 44 
64, 53 
65, 53 
66, 43 
67, 53 
68, 55 
69, 47 
70, 51 
71, 55 
72, 59 
73, 47 
74, 53 
75, 58 
76, 42 
77, 50 
78, 41 
79, 62 
80, 47 
81, 37 
82, 43 
83, 55 
84, 38 
85, 52 
86, 50 
87, 40 
88, 48 
89, 45 
90, 31 
91, 50 
92, 50 
93, 47 
94, 47 
95, 44 
96, 49 
97, 51 
98, 46 
99, 46 
100, 46 
